Wulvevea,"LINESTRING(-9110 -70,-9110 -70,-9110 -70,-9110 -70,-9110 -70,-9110 -70,-9110 -70,-9110 -70,-9110 -70,-9110 -70,-9110 -70,-9110 -70,-9110 -70,-9110 -70,-9157 -73,-9212 -75,-9255 -37,-9308 0,-9430 -71,-9513 -199,-9570 -346)",2.5,6,1,0
Wulvevea,"LINESTRING(-9570 -346,-9682.5 -639.4)",2.5,6,1,1
Unax,"LINESTRING(-14254 2744,-14254 2744,-14254 2744,-14254 2744,-14205 2727,-14202 2702,-14207 2688,-14214 2675,-14214 2675,-14231 2663,-14379 2695,-14346 2839,-14329 2981,-14289 3139,-14218 3275,-14123 3413,-14017 3542,-13911 3653,-13782 3751,-13649 3815,-13508 3863)",4.8,3,2,0
Unax,"LINESTRING(-13508 3863,-13197.6 3909.0)",4.8,3,2,1
Julyan,"LINESTRING(-8996 3015,-8996 3015,-8996 3015,-8996 3015,-8996 3015,-8996 3015,-8996 3015,-8996 3015,-8996 3015,-9012 3033,-9039 3044,-9052 3081,-9031 3129,-8983 3138,-8927 3120,-8996 3210,-9078 3073,-9175 2979,-9323 2903,-9465 2830,-9595 2812)",0.9,7,1,0
Julyan,"LINESTRING(-9595 2812,-9872.9 2992.4)",0.9,7,1,1
Elana,"LINESTRING(1169 -6559,1169 -6559,1169 -6559,1169 -6559,1169 -6559,1169 -6559,1169 -6559,1169 -6559,1169 -6559,1169 -6559,1169 -6559,1169 -6559,1190 -6525,1191 -6522,1171 -6556,1162 -6709,1205 -6858,1317 -6949,1467 -7033,1542 -7149,1582 -7294)",3.7,4,5,0
Elana,"LINESTRING(1582 -7294,1736.3 -7564.5)",3.7,4,5,1
Maridera,"LINESTRING(1189 -6526,1189 -6526,1189 -6526,1189 -6526,1189 -6526,1189 -6526,1189 -6526,1189 -6526,1189 -6526,1189 -6526,1189 -6526,1189 -6526,1189 -6526,1189 -6526,1169 -6574,1168 -6742,1229 -6890,1350 -6965,1493 -7057,1551 -7180,1595 -7329)",3.7,3,5,0
Maridera,"LINESTRING(1595 -7329,1756.5 -7593.9)",3.7,3,5,1
Barbeta,"LINESTRING(979 -4839,979 -4839,979 -4839,1013 -4828,1046 -4821,1069 -4821,1090 -4848,1112 -4866,1140 -4851,1157 -4824,1065 -4848,949 -4949,832 -5023,791 -5161)",3.8,1,9,0
Barbeta,"LINESTRING(791 -5161,1050.0 -5259.5)",3.8,1,9,1
Binhildis,"LINESTRING(1151 -4771,1151 -4771,1157 -4775,1163 -4811,1133 -4828,1015 -4912,922 -4951,836 -5018,855 -5203,1022 -5228,1111 -5356,1206 -5478,1353 -5539,1502 -5562,1665 -5534,1812 -5507,1961 -5547,2106 -5549,2224 -5509,2367 -5510)",4.4,3,2,0
Binhildis,"LINESTRING(2367 -5510,2623.4 -5411.4)",4.4,3,2,1
Lyonel,"LINESTRING(2400 -6885,2400 -6885,2400 -6885,2392 -6857,2367 -6818,2317 -6814,2282 -6811,2249 -6791,2196 -6723,2186 -6671,2180 -6639,2222 -6812,2170 -6921,2013 -6938,1869 -6898,1696 -6865,1543 -6872,1372 -6883,1222 -6856,1082 -6775)",6.0,8,7,0
Lyonel,"LINESTRING(1082 -6775,1100.1 -6554.9)",6.0,8,7,1
Grifon,"LINESTRING(900 -4898,900 -4898,914 -4889,939 -4862,968 -4844,1003 -4832,1019 -4826,1019 -4826,1078 -4807,1113 -4790,1141 -4776,1160 -4786,1159 -4818,1056 -4857,932 -4954,812 -5043,816 -5182,906 -5312,1012 -5434,1126 -5532)",5.3,3,2,0
Grifon,"LINESTRING(1126 -5532,1412.1 -5565.2)",5.3,3,2,1
Antoinnea,"LINESTRING(-10977 -4121,-10977 -4121,-10978 -4120,-11000 -4101,-11000 -4101,-11000 -4080,-11000 -4080,-11000 -4080,-10986 -4082,-10951 -4085,-10951 -4085,-10962 -4086,-11011 -4104,-11029 -4109,-11051 -4113,-11068 -4116,-10956 -4115,-10850 -4173,-10733 -4291,-10618 -4411)",3.8,6,1,0
Antoinnea,"LINESTRING(-10618 -4411,-10380.3 -4658.1)",3.8,6,1,1
Maro,"LINESTRING(-673 -8867,-673 -8867,-673 -8867,-644 -8846,-617 -8825,-619 -8830,-607 -8819,-587 -8817,-538 -8841,-529 -8862,-502 -8846,-455 -8898,-504 -9041,-426 -9176,-295 -9218,-182 -9323,-74 -9440,35 -9539,182 -9566,325 -9621)",4.6,3,2,0
Maro,"LINESTRING(325 -9621,628.4 -9628.7)",4.6,3,2,1
